Timestamp,Open,High,Low,Close,Volume
1747630800,103007,103086,102676,102790,18.04204795
1747632600,102753,103124,102581,103065,34.75536921
1747634400,103065,103199,102632,102632,46.71547921
1747636200,102637,102637,102126,102251,48.74420774
1747638000,102215,102890,102215,102869,39.38200296
1747639800,102850,103372,102843,103248,33.13809302
1747641600,103253,103372,103028,103282,15.80916162
1747643400,103235,103259,102964,103259,2.98781407
1747645200,103236,103447,103041,103275,11.14158685
1747647000,103270,103333,103047,103094,6.38653686
1747648800,103094,103100,102890,103060,26.82353254
1747650600,103060,103095,102937,102947,4.32882918
1747652400,102964,103087,102822,103066,10.47108388
1747654200,103076,103086,102939,103005,5.06663152
1747656000,102958,102960,102470,102611,16.73848428
1747657800,102593,102626,102182,102444,23.69416799
1747659600,102496,102591,102339,102550,5.53752021
1747661400,102563,103542,102443,103336,111.02835840
1747663200,103337,103790,103247,103435,69.81522931
1747665000,103496,104394,103464,104348,58.37851381
1747666800,104359,104708,104307,104499,40.23511894
1747668600,104443,104997,104443,104859,49.73909225
1747670400,104839,105123,104557,105123,74.70852692
1747672200,105123,105439,104801,105387,30.51362429
1747674000,105379,105566,104990,105273,90.63081269
1747675800,105273,105461,105099,105415,19.69585962
1747677600,105409,105541,105089,105188,22.08644159
1747679400,105167,105167,104743,104803,42.65298737
1747681200,104879,105092,104683,104952,63.45515073
1747683000,104953,105632,104953,105585,118.99702380
1747684800,105558,105820,105425,105755,10.05130952
1747686600,105755,105755,105377,105484,2.98004762
1747688400,105490,105565,105060,105066,32.02266430
1747690200,105065,105519,105065,105494,3.86206715
1747692000,105493,105579,105247,105247,23.24742509
1747693800,105250,105672,105250,105586,7.03844767
1747695600,105586,105845,105503,105503,9.25505583
1747697400,105497,105716,105490,105622,4.90035844
1747699200,105630,106565,105599,105743,72.71257306
1747701000,105685,106163,105642,105767,44.29166187
1747702800,105748,106265,105736,106125,26.98098333
1747704600,106125,106776,106125,106491,35.22220429
1747706400,106461,106851,106456,106498,6.86263127
1747708200,106470,106557,106036,106115,38.04028191
1747710000,106131,106199,105896,106107,9.00739797
1747711800,106092,106092,105561,105779,15.55276886
1747713600,105779,105820,105570,105591,2.74022532
1747715400,105591,106252,105569,106224,33.31874243
1747717200,106224,106418,106096,106379,33.74311664
1747719000,106379,106379,106103,106119,3.55667525
1747720800,106121,106225,105427,105502,41.29156782
1747722600,105514,105670,105461,105484,4.99635918
1747724400,105485,105731,105288,105555,65.15901344
1747726200,105555,105605,104972,105056,23.05030054
1747728000,105067,105250,104935,104935,8.32583787
1747729800,104934,105257,104910,105228,10.31136206
1747731600,105249,105351,105227,105350,7.09570715
1747733400,105351,105401,105312,105313,19.21514261
1747735200,105313,105414,105190,105279,1.62924501
1747737000,105279,105279,105057,105057,2.90930658
1747738800,105055,105192,104972,105187,15.76368922
1747740600,105178,105377,105178,105250,9.65268116
1747742400,105249,105249,104859,104859,10.83203717
1747744200,104861,104887,104696,104823,10.98021388
1747746000,104826,104898,104620,104652,7.51859245
1747747800,104642,104663,104232,104489,53.76494785
1747749600,104486,104997,104337,104771,55.19155162
1747751400,104739,104978,104559,104559,37.11123583
1747753200,104559,105098,104545,105098,51.23453835
1747755000,105111,105414,105074,105360,27.75294562
1747756800,105360,105541,105137,105292,20.41555916
1747758600,105292,105499,105206,105247,2.59572429
1747760400,105247,106214,105247,106199,45.70346299
1747762200,106172,106379,106045,106243,17.38906943
1747764000,106273,106456,105807,105828,38.48486007
1747765800,105807,106098,105288,105310,28.47614064
1747767600,105318,106440,105262,106395,111.38285013
1747769400,106366,107290,106366,107015,172.03579447
1747771200,107064,107064,106482,106737,57.34643185
1747773000,106755,107340,106538,106950,52.12712012
1747774800,106950,107270,106405,106405,56.73326014
1747776600,106392,106807,106200,106658,8.08216970
1747778400,106710,106801,105992,106371,20.73677591
1747780200,106402,106905,106208,106819,21.75785279
1747782000,106835,107222,106730,107025,13.92580406
1747783800,107025,107069,106711,106855,9.41643926
1747785600,106891,107238,106655,106664,12.41350250
1747787400,106663,106964,106528,106795,6.67011592
1747789200,106802,107127,106730,106831,7.79777479
1747791000,106836,106948,106478,106549,4.65512097
1747792800,106549,106596,106252,106528,4.49747040
1747794600,106528,106930,106517,106900,26.16318199
1747796400,106912,107066,106819,107051,20.39595590
1747798200,107058,107148,106838,106891,5.90414585
1747800000,106901,107060,106802,106873,2.04230668
1747801800,106873,107734,106857,107353,69.33262622
1747803600,107327,107734,107327,107609,10.40812938
1747805400,107610,107754,107414,107601,7.13675136
1747807200,107601,108000,107352,107903,37.40996334
1747809000,107905,108035,107795,107805,44.38790097
1747810800,107806,107926,106866,107031,132.87995092
1747812600,107054,107054,106517,106544,18.20417758
1747814400,106563,106834,106418,106524,27.83819187
1747816200,106511,106608,106405,106414,4.17860216
1747818000,106415,106571,106242,106382,11.39548979
1747819800,106357,106357,106141,106248,9.66675010
1747821600,106247,106479,106189,106310,3.37740615
1747823400,106302,106446,106283,106377,3.39241439
1747825200,106384,106762,106332,106698,12.25701165
1747827000,106736,106749,106515,106589,3.92173421
1747828800,106580,106925,106453,106886,36.37676097
1747830600,106886,106886,106521,106609,15.87557459
1747832400,106635,106721,106406,106512,45.56754834
1747834200,106513,107716,106513,107305,119.12303159
1747836000,107348,107767,107200,107419,93.54460121
1747837800,107412,109055,107078,109055,148.36019114
1747839600,109052,109500,108571,108976,188.67568156
1747841400,108975,109269,108364,109024,136.67126452
1747843200,109026,109338,108778,109173,48.04977631
1747845000,109173,109874,109129,109192,122.97396060
1747846800,109222,109418,106872,106960,175.70376389
1747848600,107038,107712,106214,106617,106.33952625
1747850400,106671,107176,106410,106724,29.14825520
1747852200,106725,107457,106721,107029,30.93593164
1747854000,107026,107363,106687,107277,93.64885703
1747855800,107308,108908,107308,108691,236.91492308
1747857600,108679,108803,108229,108253,30.87263799
1747859400,108262,108321,107806,108296,38.61292729
1747861200,108303,108511,107975,108137,17.04466341
1747863000,108137,108612,108135,108474,6.94173445
1747864800,108476,108672,108326,108672,7.71853376
1747866600,108675,109065,108675,108791,15.04200832
1747868400,108796,110730,108737,109795,170.60529036
1747870200,109788,110168,109409,109682,29.72001824
1747872000,109696,110183,109531,109751,32.30267378
1747873800,109712,109936,109252,109936,14.48447925
1747875600,110000,110562,109850,110027,65.18559359
1747877400,110027,110239,109710,109919,3.69964594
1747879200,109995,110610,109842,110460,10.24008747
1747881000,110500,111000,110354,110469,21.33041643
1747882800,110494,110883,110363,110788,7.06367562
1747884600,110806,111888,110731,111754,83.42801517
1747886400,111747,111791,111245,111499,24.59823642
1747888200,111482,111702,111326,111498,14.15930696
1747890000,111495,111680,111223,111435,12.11791015
1747891800,111444,111491,110857,110857,40.54255311
1747893600,110847,111171,110703,110834,39.86022420
1747895400,110829,110945,110491,110550,17.23657273
1747897200,110609,111058,110487,110673,15.44261260
1747899000,110697,111151,110638,111051,4.50513199
1747900800,111051,111163,110758,110761,36.71669932
1747902600,110814,110814,110398,110412,10.33170184
1747904400,110406,110689,110292,110688,8.23610393
1747906200,110688,110823,110544,110821,6.59869441
1747908000,110801,110943,110610,110920,37.90725191
1747909800,110914,110935,110730,110806,5.61615695
1747911600,110792,110916,110507,110507,3.09943272
1747913400,110502,111322,110498,110979,20.25979461
1747915200,110994,111339,110849,111274,35.67478926
1747917000,111282,111617,111218,111610,40.09373267
1747918800,111624,111624,111156,111414,22.47445784
1747920600,111409,111597,110943,110957,81.61651902
1747922400,110965,111307,110673,111278,26.80308794
1747924200,111292,111383,110573,110907,78.28074035
1747926000,110917,111310,110856,111181,12.31345598
1747927800,111136,111557,111077,111320,47.41829448
1747929600,111328,111842,111290,111298,37.43148888
1747931400,111296,111512,111137,111302,49.05675925
1747933200,111315,111972,111215,111747,77.90434107
1747935000,111744,112000,111421,111536,28.63979717
1747936800,111562,111758,111401,111701,19.22659291
1747938600,111737,111996,111699,111763,5.97244503
1747940400,111763,111975,111500,111962,112.70949874
1747942200,111979,111986,110971,111189,77.75514535
1747944000,111234,111470,111045,111105,26.29869749
1747945800,111119,111261,110881,111101,13.91307560
1747947600,111101,111140,110800,110831,3.20878695
1747949400,110831,111048,110800,110857,10.36108452
1747951200,110861,111200,110861,111097,5.61970555
1747953000,111097,111287,111022,111050,8.17914825
1747954800,111054,111301,111054,111286,13.82418644
1747956600,111282,111755,111282,111743,6.00145485
1747958400,111742,111816,111492,111505,25.61409772
1747960200,111530,111750,111422,111623,6.48136173
1747962000,111637,111748,111262,111304,13.81227518
1747963800,111334,111550,111267,111350,8.01645859
1747965600,111359,111625,111314,111600,9.82213779
1747967400,111607,111607,111217,111289,49.72010930
1747969200,111286,111373,111062,111062,9.94305334
1747971000,111062,111199,111041,111111,7.77564954
1747972800,111117,111186,110740,110841,22.67073450
1747974600,110820,110852,110570,110848,18.68184886
1747976400,110849,110943,110703,110717,15.83368037
1747978200,110718,110857,110678,110848,9.63446816
1747980000,110813,110854,110464,110584,13.20454239
1747981800,110581,110703,110408,110521,9.26384260
1747983600,110509,110809,110509,110804,20.71628467
1747985400,110804,110823,110559,110710,21.97851243
1747987200,110735,110889,110711,110889,8.37635124
1747989000,110889,111007,110859,110933,7.94204468
1747990800,110933,111230,110910,111092,11.03873082
1747992600,111118,111356,111118,111325,7.15233200
1747994400,111326,111327,110836,110943,28.77087378
1747996200,111005,111176,110882,111065,14.48580193
1747998000,111065,111083,110703,110853,20.43007903
1747999800,110853,110956,108911,109089,163.83329517
1748001600,109099,109110,107367,108455,307.34656523
1748003400,108435,108779,108226,108425,45.90892325
1748005200,108462,108865,108001,108729,81.60723650
